Date,Mean_Gauge,Discharge (cumecs),filename
2006-08-12,3.85,730.0,Inundation Boundary (12AUG2006 00 00 00 Value_0).tif
2003-08-10,3.86,1000.0,Inundation Boundary (10AUG2003 00 00 00 Value_0).tif
2003-07-18,3.87,720.1,Inundation Boundary (18JUL2003 00 00 00 Value_0).tif
2010-09-05,3.89,4784.354,Inundation Boundary (05SEP2010 00 00 00 Value_0).tif
2006-09-26,3.91,963.4,Inundation Boundary (26SEP2006 00 00 00 Value_0).tif
2004-08-10,3.93,1492.0,Inundation Boundary (10AUG2004 00 00 00 Value_0).tif
2003-07-24,3.94,1230.0,Inundation Boundary (24JUL2003 00 00 00 Value_0).tif
2007-08-04,3.95,1565.252,Inundation Boundary (04AUG2007 00 00 00 Value_0).tif
2002-09-19,3.95,711.6,Inundation Boundary (19SEP2002 00 00 00 Value_0).tif
2001-08-14,3.975,982.7,Inundation Boundary (14AUG2001 00 00 00 Value_0).tif
2010-07-31,3.975,681.063,Inundation Boundary (31JUL2010 00 00 00 Value_0).tif
2006-08-07,3.98,837.8,Inundation Boundary (07AUG2006 00 00 00 Value_0).tif
2009-07-27,3.98,675.532,Inundation Boundary (27JUL2009 00 00 00 Value_0).tif
2012-07-12,3.98,664.28,Inundation Boundary (12JUL2012 00 00 00 Value_0).tif
2011-07-17,3.99,1677.201,Inundation Boundary (17JUL2011 00 00 00 Value_0).tif
2008-08-02,4.0,6239.871,Inundation Boundary (02AUG2008 00 00 00 Value_0).tif
2007-07-18,4.0,1041.229,Inundation Boundary (18JUL2007 00 00 00 Value_0).tif
2012-09-22,4.0,1267.0,Inundation Boundary (22SEP2012 00 00 00 Value_0).tif
2005-09-28,4.01,994.674,Inundation Boundary (28SEP2005 00 00 00 Value_0).tif
2004-08-15,4.01,1750.0,Inundation Boundary (15AUG2004 00 00 00 Value_0).tif
2001-06-21,4.02,1171.0,Inundation Boundary (21JUN2001 00 00 00 Value_0).tif
2006-09-19,4.025,1024.0,Inundation Boundary (19SEP2006 00 00 00 Value_0).tif
2003-07-17,4.03,953.8,Inundation Boundary (17JUL2003 00 00 00 Value_0).tif
2005-08-16,4.04,810.021,Inundation Boundary (16AUG2005 00 00 00 Value_0).tif
2008-08-11,4.05,1220.045,Inundation Boundary (11AUG2008 00 00 00 Value_0).tif
2011-07-03,4.055,659.731,Inundation Boundary (03JUL2011 00 00 00 Value_0).tif
2006-08-11,4.055,869.9,Inundation Boundary (11AUG2006 00 00 00 Value_0).tif
2010-08-25,4.09,799.745,Inundation Boundary (25AUG2010 00 00 00 Value_0).tif
2009-09-06,4.11,1444.787,Inundation Boundary (06SEP2009 00 00 00 Value_0).tif
2003-08-24,4.12,2200.0,Inundation Boundary (24AUG2003 00 00 00 Value_0).tif
2007-08-25,4.125,927.624,Inundation Boundary (25AUG2007 00 00 00 Value_0).tif
2011-06-30,4.14,1012.339,Inundation Boundary (30JUN2011 00 00 00 Value_0).tif
2009-07-19,4.16,749.743,Inundation Boundary (19JUL2009 00 00 00 Value_0).tif
2006-08-05,4.16,1216.0,Inundation Boundary (05AUG2006 00 00 00 Value_0).tif
2005-09-01,4.165,800.349,Inundation Boundary (01SEP2005 00 00 00 Value_0).tif
2010-09-15,4.17,1123.069,Inundation Boundary (15SEP2010 00 00 00 Value_0).tif
2007-08-07,4.17,885.615,Inundation Boundary (07AUG2007 00 00 00 Value_0).tif
2004-09-02,4.18,830.5,Inundation Boundary (02SEP2004 00 00 00 Value_0).tif
2004-08-03,4.2,1057.0,Inundation Boundary (03AUG2004 00 00 00 Value_0).tif
2003-08-01,4.215,900.7,Inundation Boundary (01AUG2003 00 00 00 Value_0).tif
